Signature,Proposed_Etiology,DX,RE
SBS1,Deamination of 5-methylcytosine,0.017,0.028
SBS5,Unknown,0.272,0
SBS7a,Ultraviolet light exposure,0.254,0.248
SBS7b,Ultraviolet light exposure,0.151,0.174
SBS37,Unknown,0.307,0.353
SBS44,Defective DNA mismatch repair,0,0.198
