"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Comparison"
"GO:1902946","protein localization to early endosome","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0033157","regulation of intracellular protein transport","2/24","152/18805",0.0131578947368421,10.3097587719298,4.11962099332452,0.0159439880334057,0.203286835985906,0.164333669808966,"XPO1/PIK3R1",2,"DX_vs_REM"
"GO:0002833","positive regulation of response to biotic stimulus","3/24","425/18805",0.00705882352941176,5.53088235294118,3.37734854814647,0.0163112111232511,0.203286835985906,0.164333669808966,"PRKCA/PIK3R1/RNF125",3,"DX_vs_REM"
"GO:0002934","desmosome organization","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0010960","magnesium ion homeostasis","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CNNM2",1,"DX_vs_REM"
"GO:0030397","membrane disassembly","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0043379","memory T cell differentiation","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0045916","negative regulation of complement activation","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0070486","leukocyte aggregation","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0071801","regulation of podosome assembly","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:1900103","positive regulation of endoplasmic reticulum unfolded protein response","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"PIK3R1",1,"DX_vs_REM"
"GO:1900115","extracellular regulation of signal transduction","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:1900116","extracellular negative regulation of signal transduction","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:1905668","positive regulation of protein localization to endosome","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:1903706","regulation of hemopoiesis","3/24","436/18805",0.00688073394495413,5.39134174311927,3.31641682242448,0.0174535171160036,0.203286835985906,0.164333669808966,"CD46/PRKCA/PIK3R1",3,"DX_vs_REM"
"GO:0000054","ribosomal subunit export from nucleus","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"XPO1",1,"DX_vs_REM"
"GO:0002713","negative regulation of B cell mediated immunity","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0002890","negative regulation of immunoglobulin mediated immune response","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0033750","ribosome localization","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"XPO1",1,"DX_vs_REM"
"GO:0051645","Golgi localization","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"HOOK3",1,"DX_vs_REM"
"GO:0072393","microtubule anchoring at microtubule organizing center","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"HOOK3",1,"DX_vs_REM"
"GO:0090715","immunological memory formation process","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:1905666","regulation of protein localization to endosome","1/24","14/18805",0.0714285714285714,55.9672619047619,7.35469320565,0.0177261960829309,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0051223","regulation of protein transport","3/24","449/18805",0.0066815144766147,5.23524498886414,3.2470133112324,0.0188605589954372,0.203286835985906,0.164333669808966,"XPO1/PRKCA/PIK3R1",3,"DX_vs_REM"
"GO:0042060","wound healing","3/24","450/18805",0.00666666666666667,5.22361111111111,3.24178622073749,0.0189713601605016,0.203286835985906,0.164333669808966,"AHNAK/PRKCA/JMJD1C",3,"DX_vs_REM"
"GO:0030099","myeloid cell differentiation","3/24","455/18805",0.00659340659340659,5.16620879120879,3.21588182193741,0.0195308778017783,0.203286835985906,0.164333669808966,"PRKCA/PIK3R1/SELENOW",3,"DX_vs_REM"
"GO:0001771","immunological synapse formation","1/24","16/18805",0.0625,48.9713541666667,6.86217077779556,0.0202337947209994,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0030033","microvillus assembly","1/24","16/18805",0.0625,48.9713541666667,6.86217077779556,0.0202337947209994,0.203286835985906,0.164333669808966,"STK26",1,"DX_vs_REM"
"GO:0032780","negative regulation of ATP-dependent activity","1/24","16/18805",0.0625,48.9713541666667,6.86217077779556,0.0202337947209994,0.203286835985906,0.164333669808966,"PXK",1,"DX_vs_REM"
"GO:0034349","glial cell apoptotic process","1/24","16/18805",0.0625,48.9713541666667,6.86217077779556,0.0202337947209994,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0034497","protein localization to phagophore assembly site","1/24","16/18805",0.0625,48.9713541666667,6.86217077779556,0.0202337947209994,0.203286835985906,0.164333669808966,"LRBA",1,"DX_vs_REM"
"GO:0002921","negative regulation of humoral immune response","1/24","17/18805",0.0588235294117647,46.0906862745098,6.64878693595275,0.0214852923486902,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin","1/24","17/18805",0.0588235294117647,46.0906862745098,6.64878693595275,0.0214852923486902,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0045198","establishment of epithelial cell apical/basal polarity","1/24","17/18805",0.0588235294117647,46.0906862745098,6.64878693595275,0.0214852923486902,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0045651","positive regulation of macrophage differentiation","1/24","17/18805",0.0588235294117647,46.0906862745098,6.64878693595275,0.0214852923486902,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:1903729","regulation of plasma membrane organization","1/24","17/18805",0.0588235294117647,46.0906862745098,6.64878693595275,0.0214852923486902,0.203286835985906,0.164333669808966,"AHNAK",1,"DX_vs_REM"
"GO:0043484","regulation of RNA splicing","2/24","187/18805",0.0106951871657754,8.3801247771836,3.62567924629391,0.0235173969421813,0.203286835985906,0.164333669808966,"AHNAK/PIK3R1",2,"DX_vs_REM"
"GO:0045780","positive regulation of bone resorption","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0071636","positive regulation of transforming growth factor beta production","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0090670","RNA localization to Cajal body","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"SHQ1",1,"DX_vs_REM"
"GO:0090671","telomerase RNA localization to Cajal body","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"SHQ1",1,"DX_vs_REM"
"GO:0090672","telomerase RNA localization","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"SHQ1",1,"DX_vs_REM"
"GO:0090685","RNA localization to nucleus","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"SHQ1",1,"DX_vs_REM"
"GO:2000641","regulation of early endosome to late endosome transport","1/24","19/18805",0.0526315789473684,41.2390350877193,6.27304763274766,0.0239836932018448,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0022613","ribonucleoprotein complex biogenesis","3/24","494/18805",0.00607287449392713,4.75835020242915,3.02604982145525,0.0242114649452126,0.203286835985906,0.164333669808966,"XPO1/SHQ1/RPS15A",3,"DX_vs_REM"
"GO:0062207","regulation of pattern recognition receptor signaling pathway","2/24","191/18805",0.0104712041884817,8.20462478184991,3.57749950392918,0.0244614063638121,0.203286835985906,0.164333669808966,"PIK3R1/RNF125",2,"DX_vs_REM"
"GO:1903829","positive regulation of protein localization","3/24","499/18805",0.00601202404809619,4.71067134268537,3.00315273213476,0.0248522036494373,0.203286835985906,0.164333669808966,"PRKCA/PIK3R1/MSN",3,"DX_vs_REM"
"GO:1903830","magnesium ion transmembrane transport","1/24","20/18805",0.05,39.1770833333333,6.10637582254642,0.0252306000134681,0.203286835985906,0.164333669808966,"CNNM2",1,"DX_vs_REM"
"GO:1902107","positive regulation of leukocyte differentiation","2/24","195/18805",0.0102564102564103,8.03632478632479,3.53070459294363,0.025420898418496,0.203286835985906,0.164333669808966,"CD46/PRKCA",2,"DX_vs_REM"
"GO:1903708","positive regulation of hemopoiesis","2/24","195/18805",0.0102564102564103,8.03632478632479,3.53070459294363,0.025420898418496,0.203286835985906,0.164333669808966,"CD46/PRKCA",2,"DX_vs_REM"
"GO:0015693","magnesium ion transport","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"CNNM2",1,"DX_vs_REM"
"GO:0038166","angiotensin-activated signaling pathway","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0039535","regulation of RIG-I signaling pathway","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"RNF125",1,"DX_vs_REM"
"GO:0071800","podosome assembly","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0090141","positive regulation of mitochondrial fission","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"DDHD2",1,"DX_vs_REM"
"GO:0090713","immunological memory process","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","1/24","21/18805",0.0476190476190476,37.3115079365079,5.95156632686985,0.0264759801358889,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0030449","regulation of complement activation","1/24","22/18805",0.0454545454545455,35.6155303030303,5.80725954174548,0.0277198353571804,0.203481868336225,0.16449133069096,"CD46",1,"DX_vs_REM"
"GO:0035089","establishment of apical/basal cell polarity","1/24","22/18805",0.0454545454545455,35.6155303030303,5.80725954174548,0.0277198353571804,0.203481868336225,0.16449133069096,"MSN",1,"DX_vs_REM"
"GO:0061709","reticulophagy","1/24","22/18805",0.0454545454545455,35.6155303030303,5.80725954174548,0.0277198353571804,0.203481868336225,0.16449133069096,"RETREG3",1,"DX_vs_REM"
"GO:0071786","endoplasmic reticulum tubular network organization","1/24","22/18805",0.0454545454545455,35.6155303030303,5.80725954174548,0.0277198353571804,0.203481868336225,0.16449133069096,"RETREG3",1,"DX_vs_REM"
"GO:0006403","RNA localization","2/24","206/18805",0.00970873786407767,7.60720064724919,3.40861298733373,0.0281379653509979,0.204306096244202,0.165157622712379,"XPO1/SHQ1",2,"DX_vs_REM"
"GO:0032528","microvillus organization","1/24","24/18805",0.0416666666666667,32.6475694444444,5.54572093553158,0.030202978238673,0.208098494244575,0.168223333670764,"STK26",1,"DX_vs_REM"
"GO:0045591","positive regulation of regulatory T cell differentiation","1/24","24/18805",0.0416666666666667,32.6475694444444,5.54572093553158,0.030202978238673,0.208098494244575,0.168223333670764,"CD46",1,"DX_vs_REM"
"GO:0061162","establishment of monopolar cell polarity","1/24","24/18805",0.0416666666666667,32.6475694444444,5.54572093553158,0.030202978238673,0.208098494244575,0.168223333670764,"MSN",1,"DX_vs_REM"
"GO:0042098","T cell proliferation","2/24","217/18805",0.00921658986175115,7.2215821812596,3.29523022837752,0.0309674020252854,0.208098494244575,0.168223333670764,"CD46/MSN",2,"DX_vs_REM"
"GO:0030859","polarized epithelial cell differentiation","1/24","25/18805",0.04,31.3416666666667,5.42666520714094,0.0314422694650334,0.208098494244575,0.168223333670764,"MSN",1,"DX_vs_REM"
"GO:0034453","microtubule anchoring","1/24","25/18805",0.04,31.3416666666667,5.42666520714094,0.0314422694650334,0.208098494244575,0.168223333670764,"HOOK3",1,"DX_vs_REM"
"GO:0061339","establishment or maintenance of monopolar cell polarity","1/24","25/18805",0.04,31.3416666666667,5.42666520714094,0.0314422694650334,0.208098494244575,0.168223333670764,"MSN",1,"DX_vs_REM"
"GO:0097150","neuronal stem cell population maintenance","1/24","25/18805",0.04,31.3416666666667,5.42666520714094,0.0314422694650334,0.208098494244575,0.168223333670764,"HOOK3",1,"DX_vs_REM"
"GO:0045637","regulation of myeloid cell differentiation","2/24","220/18805",0.00909090909090909,7.12310606060606,3.26567698501659,0.0317581222264491,0.208098494244575,0.168223333670764,"PRKCA/PIK3R1",2,"DX_vs_REM"
"GO:1901385","regulation of voltage-gated calcium channel activity","1/24","26/18805",0.0384615384615385,30.136217948718,5.31440937935619,0.0326800429225859,0.208098494244575,0.168223333670764,"AHNAK",1,"DX_vs_REM"
"GO:0021846","cell proliferation in forebrain","1/24","27/18805",0.037037037037037,29.0200617283951,5.20832034409156,0.0339163003894298,0.208098494244575,0.168223333670764,"HOOK3",1,"DX_vs_REM"
"GO:0036010","protein localization to endosome","1/24","27/18805",0.037037037037037,29.0200617283951,5.20832034409156,0.0339163003894298,0.208098494244575,0.168223333670764,"MSN",1,"DX_vs_REM"
"GO:0045649","regulation of macrophage differentiation","1/24","27/18805",0.037037037037037,29.0200617283951,5.20832034409156,0.0339163003894298,0.208098494244575,0.168223333670764,"PRKCA",1,"DX_vs_REM"
"GO:0060396","growth hormone receptor signaling pathway","1/24","27/18805",0.037037037037037,29.0200617283951,5.20832034409156,0.0339163003894298,0.208098494244575,0.168223333670764,"PIK3R1",1,"DX_vs_REM"
"GO:0002285","lymphocyte activation involved in immune response","2/24","231/18805",0.00865800865800866,6.78391053391053,3.16188610266978,0.0347256891053202,0.208098494244575,0.168223333670764,"CD46/PIK3R1",2,"DX_vs_REM"
"GO:0007097","nuclear migration","1/24","28/18805",0.0357142857142857,27.983630952381,5.10784472813627,0.0351510436416745,0.208098494244575,0.168223333670764,"HOOK3",1,"DX_vs_REM"
"GO:0010592","positive regulation of lamellipodium assembly","1/24","28/18805",0.0357142857142857,27.983630952381,5.10784472813627,0.0351510436416745,0.208098494244575,0.168223333670764,"PIK3R1",1,"DX_vs_REM"
"GO:0039529","RIG-I signaling pathway","1/24","28/18805",0.0357142857142857,27.983630952381,5.10784472813627,0.0351510436416745,0.208098494244575,0.168223333670764,"RNF125",1,"DX_vs_REM"
"GO:0071378","cellular response to growth hormone stimulus","1/24","28/18805",0.0357142857142857,27.983630952381,5.10784472813627,0.0351510436416745,0.208098494244575,0.168223333670764,"PIK3R1",1,"DX_vs_REM"
"GO:0002685","regulation of leukocyte migration","2/24","236/18805",0.00847457627118644,6.64018361581921,3.11692513962684,0.03610941493849,0.208098494244575,0.168223333670764,"PIK3R1/MSN",2,"DX_vs_REM"
"GO:0001778","plasma membrane repair","1/24","29/18805",0.0344827586206897,27.0186781609195,5.01249642111416,0.0363842744534443,0.208098494244575,0.168223333670764,"AHNAK",1,"DX_vs_REM"
"GO:0043392","negative regulation of DNA binding","1/24","29/18805",0.0344827586206897,27.0186781609195,5.01249642111416,0.0363842744534443,0.208098494244575,0.168223333670764,"SUMO3",1,"DX_vs_REM"
"GO:0007033","vacuole organization","2/24","238/18805",0.00840336134453781,6.5843837535014,3.0993045264052,0.0366688977480278,0.208098494244575,0.168223333670764,"LRBA/HOOK3",2,"DX_vs_REM"
