"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Comparison"
"GO:0006909","phagocytosis","13/370","238/18805",0.0546218487394958,2.77611855553032,3.90655527469565,0.0009108718209645,0.159828998744007,0.150048008920329,"LDLR/MYO1G/RAB20/CD300LF/RAB34/PLD2/IRF8/CYBA/ITGB2/AZU1/PRTN3/ELANE/XKR8",13,"DX_vs_REM"
"GO:0002446","neutrophil mediated immunity","5/370","39/18805",0.128205128205128,6.51593901593901,4.88506465205174,0.000953333328549108,0.159828998744007,0.150048008920329,"PRAM1/STXBP2/ITGB2/AZU1/ELANE",5,"DX_vs_REM"
"GO:0008406","gonad development","13/370","240/18805",0.0541666666666667,2.75298423423423,3.87204652164443,0.000983393442977879,0.159828998744007,0.150048008920329,"UMODL1/CEBPB/NUDT1/DMC1/INHBA/GNRH1/RETN/LSM14B/BCL2/MKKS/HOXA9/HOXA10/UTF1",13,"DX_vs_REM"
"GO:1903706","regulation of hemopoiesis","19/370","436/18805",0.0435779816513761,2.214821472849,3.63594545645639,0.00109524364032689,0.159828998744007,0.150048008920329,"PURB/HMGB3/KAT2A/STAT5A/TNFSF9/JAG1/CEBPB/PRDX2/ISG15/INHBA/HSF1/GPR68/CD27/IL4R/CLEC4G/SMARCC2/HOXA5/HOXA7/HOXA9",19,"DX_vs_REM"
"GO:0033632","regulation of cell-cell adhesion mediated by integrin","3/370","11/18805",0.272727272727273,13.8611793611794,6.04466084714102,0.0011085191527235,0.159828998744007,0.150048008920329,"FERMT3/CD3E/PIEZO1",3,"DX_vs_REM"
"GO:0046718","symbiont entry into host cell","9/370","131/18805",0.0687022900763359,3.4917474726635,4.05438894802136,0.00115332435978719,0.159828998744007,0.150048008920329,"LDLR/GRK2/MYH10/TNFRSF4/P4HB/IDE/CLEC4G/DYNLT1/BSG",9,"DX_vs_REM"
"GO:0008585","female gonad development","8/370","106/18805",0.0754716981132075,3.83579806221316,4.14785394526325,0.00117603459224196,0.159828998744007,0.150048008920329,"UMODL1/CEBPB/DMC1/INHBA/GNRH1/RETN/LSM14B/BCL2",8,"DX_vs_REM"
"GO:0045137","development of primary sexual characteristics","13/370","245/18805",0.0530612244897959,2.69680088251517,3.78729687878272,0.0011861150185084,0.159828998744007,0.150048008920329,"UMODL1/CEBPB/NUDT1/DMC1/INHBA/GNRH1/RETN/LSM14B/BCL2/MKKS/HOXA9/HOXA10/UTF1",13,"DX_vs_REM"
"GO:0062207","regulation of pattern recognition receptor signaling pathway","11/370","191/18805",0.0575916230366492,2.92705532757889,3.79223659634235,0.0014564482851017,0.166367670140628,0.156186535919542,"TKFC/GPR108/ZDHHC12/CD300LF/AURKB/PUM2/IRAK3/NPLOC4/ARRB2/CYBA/SMPDL3B",11,"DX_vs_REM"
"GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway","3/370","12/18805",0.25,12.7060810810811,5.74656742060906,0.00145655434064103,0.166367670140628,0.156186535919542,"PTPN1/HGS/HHEX",3,"DX_vs_REM"
"GO:0035771","interleukin-4-mediated signaling pathway","3/370","12/18805",0.25,12.7060810810811,5.74656742060906,0.00145655434064103,0.166367670140628,0.156186535919542,"STAT5A/CD300LF/IL4R",3,"DX_vs_REM"
"GO:0043312","neutrophil degranulation","3/370","12/18805",0.25,12.7060810810811,5.74656742060906,0.00145655434064103,0.166367670140628,0.156186535919542,"PRAM1/STXBP2/ITGB2",3,"DX_vs_REM"
