,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007584,BP,GO:0007584,response to nutrient,29/1423,130/13600,0.223076923076923,2.13200713552084,4.43325616424246,6.06139210541791e-05,0.0159750635651822,0.0143266251796604,MDM2/APAF1/FES/IGF1R/PRKCB/NOD2/SREBF1/RARA/SRSF2/TGFB1/MTHFR/AGL/NCOA3/PPARA/KYNU/NCOA1/DNMT3A/MAT2A/PPARG/PLD1/TFRC/SCAP/GNAI2/ARSB/SRF/GCLC/ABCA1/SLC27A4/RXRA,29
GO:0010586,BP,GO:0010586,miRNA metabolic process,28/1423,103/13600,0.271844660194175,2.59809373059788,5.56529282294966,1.48238354390548e-06,0.00195526389441133,0.00175350369206714,ZSWIM8/HRAS/NEAT1/FOSL1/DICER1/SREBF1/RARA/DDX5/TGFB1/NR1H2/KHSRP/NOTCH2/POU2F1/RC3H1/AGO4/TUT4/JUN/SREBF2/PPARA/PNPT1/PPARG/GATA2/MYB/QKI/SRF/SND1/AGO2/XIST,28
GO:0006892,BP,GO:0006892,post-Golgi vesicle-mediated transport,28/1423,107/13600,0.261682242990654,2.50096873132319,5.32837838088153,3.36392130235219e-06,0.00236248381822702,0.00211870331649385,GBF1/CCDC91/RAB3IP/SCFD1/SNAP23/MYO5A/VPS35L/RAB34/RABEP1/AP3D1/LYPLAL1/CNST/EPS15/VAMP3/KIF16B/DOP1B/CCDC93/COMMD1/VPS54/ATP2C1/AP1AR/EXOC1/GAK/GOLPH3/SCAMP1/EXOC4/ASAP1/VPS13A,28
GO:0006997,BP,GO:0006997,nucleus organization,28/1423,139/13600,0.201438848920863,1.92520614569483,3.74794346137529,0.000491925519640877,0.0405531100253948,0.0363685067563445,NUP98/NEAT1/BANF1/NUMA1/BAZ2A/EMG1/USPL1/PML/UBE2I/PRKCB/LMNB2/SIRT2/TOR1AIP1/AHCTF1/SELENOF/POLR1B/LPIN1/AGFG1/PSME4/RTN4/CFAP44/ATXN7/SYNE1/NUP153/SRPK1/HIPK2/PLEC/CDKN2A,28
GO:0008286,BP,GO:0008286,insulin receptor signaling pathway,28/1423,144/13600,0.194444444444444,1.85835871008042,3.5397929436133,0.00088252704025878,0.0490127648884771,0.043955224886019,PTPRE/PIK3C2A/PTPRJ/HRAS/C2CD5/FOXO1/IGF1R/TSC2/PRKCB/SREBF1/STXBP4/GRB2/INSR/BCAR3/PTPN1/MAPK1/GSK3B/EPHB3/SMARCC1/GNAI2/APC/CSF1R/PIK3R1/MET/GRB10/FGFR1/SLC27A4/KANK1,28
GO:1903313,BP,GO:1903313,positive regulation of mRNA metabolic process,27/1423,123/13600,0.219512195121951,2.0979380559793,4.18137929118136,0.000142984775823915,0.0228602326438477,0.0205013259115948,CPEB3/NUP98/CLNS1A/CNOT2/PAN3/TNRC6A/FTO/CNOT1/CNOT3/KHSRP/RC3H1/HNRNPU/PUM1/THRAP3/TUT4/EIF4ENIF1/PUM2/GIGYF2/PNPT1/DHX36/DCP1A/DCP2/QKI/ZC3HAV1/TRA2A/AGO2/UPF3B,27
GO:0031623,BP,GO:0031623,receptor internalization,26/1423,122/13600,0.213114754098361,2.03679596327316,3.93229662783985,0.000309723240051728,0.0302611076761651,0.027138517817398,ATAD1/AP2A2/GRK2/PICALM/MTMR2/CD63/MDM2/NUMB/RIN3/PLCG2/AP2B1/RABEP1/CLTC/GRB2/INSR/DNM3/RNF220/EPS15/MX1/WDR54/CBLB/TBC1D5/TFRC/SYNE1/LMBRD1/ANGPT1,26
GO:0030177,BP,GO:0030177,positive regulation of Wnt signaling pathway,26/1423,125/13600,0.208,1.9879128601546,3.79310654991475,0.000461143180123519,0.0392417970698659,0.0351925058515317,FAM53B/LRRK2/WNK1/LRRK1/USP8/CSNK1G1/NLE1/CSNK1D/TGFB1/SKI/RNF220/GID8/PRDM15/ZEB2/TTC21B/PPM1B/USP34/PPP2R3A/TBL1XR1/ANKRD6/JRK/CCAR2/MLLT3/KANK1/SPIN4/TBL1X,26
GO:0045621,BP,GO:0045621,positive regulation of lymphocyte differentiation,26/1423,129/13600,0.201550387596899,1.9262721513126,3.6134273552012,0.000761935496751809,0.0462008042784757,0.0414334254881585,IL15RA/ZMIZ1/ZBTB16/RASGRP1/IL4R/RARA/STAT5B/MALT1/AP3D1/TGFB1/PTPRC/CD46/DUSP10/ARID1A/RUNX1/EP300/CD86/OPA1/SMARCC1/AP3B1/CD83/ARID1B/PRKDC/RIPK2/SMARCA2/SHB,26
GO:0046632,BP,GO:0046632,alpha-beta T cell differentiation,26/1423,130/13600,0.2,1.91145467322558,3.56951111146995,0.000859666518975766,0.0487698984313564,0.0437374193864863,ZBTB16/ASCL2/TBK1/IL4R/RARA/MALT1/BCL2/JAK3/AP3D1/RC3H1/RUNX1/EP300/STAT4/CD86/OPA1/FOXP1/SH3RF1/IL6ST/PIK3R1/AP3B1/PRDM1/MYB/CD83/IRF4/RIPK2/SHB,26
