geneSymbol
AL627309.1
AL627309.5
AL627309.4
LINC01409
FAM87B
LINC01128
LINC00115
FAM41C
AL645608.6
AL645608.2
LINC02593
SAMD11
NOC2L
KLHL17
PLEKHN1
AL645608.7
HES4
ISG15
AL645608.1
AGRN
AL645608.8
RNF223
C1orf159
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
C1QTNF12
AL162741.1
UBE2J2
LINC01786
SCNN1D
ACAP3
PUSL1
INTS11
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
AL391244.2
ANKRD65
LINC01770
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
AL645728.1
FNDC10
AL691432.4
AL691432.2
MIB2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
AL109917.1
TMEM52
CFAP74
GABRD
PRKCZ
AL590822.2
PRKCZ-AS1
FAAP20
SKI
AL590822.3
MORN1
AL513477.2
RER1
PEX10
PLCH2
PANK4
HES5
AL139246.5
TNFRSF14-AS1
TNFRSF14
AL139246.3
PRXL2B
MMEL1
TTC34
PRDM16-DT
PRDM16
MEGF6
AL513320.1
TPRG1L
WRAP73
TP73
SMIM1
LRRC47
AL365330.1
CEP104
DFFB
C1orf174
LINC01134
AL805961.1
AJAP1
NPHP4
KCNAB2
CHD5
RPL22
AL031847.1
RNF207
ICMT
LINC00337
GPR153
ACOT7
AL031848.2
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
AL591163.1
CAMTA1-DT
CAMTA1
VAMP3
Z98884.2
PER3
Z98884.1
UTS2
TNFRSF9
PARK7
AL034417.4
AL034417.3
ERRFI1
AL034417.2
SLC45A1
RERE
RERE-AS1
ENO1
ENO1-AS1
SLC2A5
GPR157
MIR34AHG
LNCTAM34A
H6PD
SPSB1
LINC02606
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
AL357140.2
NMNAT1
RBP7
UBE4B
KIF1B
AL139424.3
AL139424.2
PGD
AL139424.1
CENPS
CORT
DFFA
PEX14
AL139423.2
CASZ1
AL139423.1
C1orf127
TARDBP
MASP2
AL109811.2
SRM
EXOSC10
AL109811.1
EXOSC10-AS1
MTOR
UBIAD1
AL031731.1
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
AL021155.5
KIAA2013
PLOD1
AL096840.2
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
AC254633.1
PRDM2
KAZN
TMEM51-AS1
TMEM51
FHAD1
AL031283.1
EFHD2
CTRC
CASP9
DNAJC16
AGMAT
AL121992.1
DDI2
AL121992.2
PLEKHM2
AL450998.3
SLC25A34
FBLIM1
UQCRHL
AL450998.2
SPEN
ZBTB17
EPHA2
ARHGEF19
AL109627.1
CPLANE2
FBXO42
SZRD1
SPATA21
NECAP2
LINC01772
AL137802.2
LINC01783
NBPF1
CROCC
BX284668.5
BX284668.6
MFAP2
ATP13A2
SDHB
PADI2
PADI4
PADI6
RCC2
ARHGEF10L
ALDH4A1
IFFO2
AL137127.1
UBR4
EMC1-AS1
EMC1
MRTO4
AKR7A3
AKR7A2
SLC66A1
CAPZB
MICOS10
NBL1
TMCO4
OTUD3
PLA2G2D
Z98257.1
PLA2G2C
UBXN10-AS1
UBXN10
CAMK2N1
MUL1
CDA
PINK1
PINK1-AS
DDOST
KIF17
HP1BP3
EIF4G3
AL031005.2
ECE1
AL031005.1
AL031728.1
NBPF3
ALPL
RAP1GAP
USP48
LDLRAD2
HSPG2
