"","cellLineName","ann"
"SNU668","SNU668","Stomach"
"KE39","KE39","Stomach"
"CCLFNEURO0046T","CCLFNEURO0046T","Stomach"
"OACM51","OACM51","Stomach"
"CCLFUPGI0003T","CCLFUPGI0003T","Stomach"
"NCCSTCK140","NCCSTCK140","Stomach"
"CCLFUPGI0005T","CCLFUPGI0005T","Stomach"
"BB49EBV","BB49EBV","Normal"
"MZ1B","MZ1B","Normal"
"LB373EBV","LB373EBV","Normal"
"BB65EBV","BB65EBV","Normal"
"CP50EBV","CP50EBV","Normal"
"MZ7B","MZ7B","Normal"
"J82EBV","J82EBV","Normal"
"LB2518EBV","LB2518EBV","Normal"
"HA7EBV","HA7EBV","Normal"
"CP66EBV","CP66EBV","Normal"
"LB1047EBV","LB1047EBV","Normal"
"L542","L542","Normal"
"LB2241EBV","LB2241EBV","Normal"
